territory_id,region_name,year,gdp_per_capita
HR021,Bjelovarsko-bilogorska županija,2000,5965.21
HR022,Virovitičko-podravska županija,2000,5775.73
HR023,Požeško-slavonska županija,2000,5836.23
HR024,Brodsko-posavska županija,2000,5125.56
HR025,Osječko-baranjska županija,2000,6356.21
HR026,Vukovarsko-srijemska županija,2000,4891.44
HR027,Karlovačka županija,2000,6218.83
HR028,Sisačko-moslavačka županija,2000,7263.82
HR031,Primorsko-goranska zupanija,2000,10969.4
HR032,Licko-senjska zupanija,2000,6467.05
HR033,Zadarska zupanija,2000,6311.52
HR034,Sibensko-kninska zupanija,2000,5955.75
HR035,Splitsko-dalmatinska zupanija,2000,6870.06
HR036,Istarska zupanija,2000,11116.47
HR037,Dubrovacko-neretvanska zupanija,2000,7601.35
HR050,Grad Zagreb,2000,13218.04
HR061,Međimurska županija,2000,6406.22
HR062,Varaždinska županija,2000,7075.25
HR063,Koprivničko-križevačka županija,2000,8483.01
HR064,Krapinsko-zagorska županija,2000,5827.53
HR065,Zagrebačka županija,2000,6247.27
ME000,Crna Gora,2000,3994.14
MK001,Vardarski,2000,2378.21
MK002,Istocen,2000,2274.2
MK003,Jugozapaden,2000,2560.44
MK004,Jugoistocen,2000,2544.61
MK005,Pelagoniski,2000,3522.45
MK006,Poloski,2000,1569.62
MK007,Severoistocen,2000,1978.69
MK008,Skopski,2000,4408.91
RS110,Београдска област,2000,3939.67
RS121,Западнобачка област,2000,2637.56
RS122,Јужнобанатска област,2000,2805.08
RS123,Јужнобачка област,2000,4240.16
RS124,Севернобанатска област,2000,2728.99
RS125,Севернобачка област,2000,2719.51
RS126,Средњобанатска област,2000,3135.0
RS127,Сремска област,2000,2573.2
RS211,Златиборска област,2000,2023.0
RS212,Колубарска област,2000,2165.27
RS213,Мачванска област,2000,1954.09
RS214,Моравичка област,2000,2840.83
RS215,Поморавска област,2000,2278.1
RS216,Расинска област,2000,2707.51
RS217,Рашка област,2000,1751.44
RS218,Шумадијска област,2000,2000.89
RS221,Борска област,2000,2523.02
RS222,Браничевска област,2000,2554.89
RS223,Зајечарска област,2000,2263.72
RS224,Јабланичка област,2000,1942.63
RS225,Нишавска област,2000,2687.01
RS226,Пиротска област,2000,2022.64
RS227,Подунавска област,2000,1758.68
RS228,Пчињска област,2000,2549.87
RS229,Топличка област,2000,1944.24
SI031,Pomurska,2000,10319.14
SI032,Podravska,2000,12072.92
SI033,Koroska,2000,12423.01
SI034,Savinjska,2000,13278.99
SI035,Zasavska,2000,10485.9
SI036,Posavska,2000,12452.91
SI037,Jugovzhodna Slovenija,2000,14468.78
SI038,Primorsko-notranjska,2000,11966.73
SI041,Osrednjeslovenska,2000,20393.32
SI042,Gorenjska,2000,12941.06
SI043,Goriska,2000,14236.82
SI044,Obalno-kraska,2000,15535.4
HR021,Bjelovarsko-bilogorska županija,2000,5965.21
HR022,Virovitičko-podravska županija,2000,5775.73
HR023,Požeško-slavonska županija,2000,5836.23
HR024,Brodsko-posavska županija,2000,5125.56
HR025,Osječko-baranjska županija,2000,6356.21
HR026,Vukovarsko-srijemska županija,2000,4891.44
HR027,Karlovačka županija,2000,6218.83
HR028,Sisačko-moslavačka županija,2000,7263.82
HR031,Primorsko-goranska zupanija,2000,10969.4
HR032,Licko-senjska zupanija,2000,6467.05
HR033,Zadarska zupanija,2000,6311.52
HR034,Sibensko-kninska zupanija,2000,5955.75
HR035,Splitsko-dalmatinska zupanija,2000,6870.06
HR036,Istarska zupanija,2000,11116.47
HR037,Dubrovacko-neretvanska zupanija,2000,7601.35
HR050,Grad Zagreb,2000,13218.04
HR061,Međimurska županija,2000,6406.22
HR062,Varaždinska županija,2000,7075.25
HR063,Koprivničko-križevačka županija,2000,8483.01
HR064,Krapinsko-zagorska županija,2000,5827.53
HR065,Zagrebačka županija,2000,6247.27
ME000,Crna Gora,2000,3994.14
MK001,Vardarski,2000,2378.21
MK002,Istocen,2000,2274.2
MK003,Jugozapaden,2000,2560.44
MK004,Jugoistocen,2000,2544.61
MK005,Pelagoniski,2000,3522.45
MK006,Poloski,2000,1569.62
MK007,Severoistocen,2000,1978.69
MK008,Skopski,2000,4408.91
RS110,Београдска област,2000,3939.67
RS121,Западнобачка област,2000,2637.56
RS122,Јужнобанатска област,2000,2805.08
RS123,Јужнобачка област,2000,4240.16
RS124,Севернобанатска област,2000,2728.99
RS125,Севернобачка област,2000,2719.51
RS126,Средњобанатска област,2000,3135.0
RS127,Сремска област,2000,2573.2
RS211,Златиборска област,2000,2023.0
RS212,Колубарска област,2000,2165.27
RS213,Мачванска област,2000,1954.09
RS214,Моравичка област,2000,2840.83
RS215,Поморавска област,2000,2278.1
RS216,Расинска област,2000,2707.51
RS217,Рашка област,2000,1751.44
RS218,Шумадијска област,2000,2000.89
RS221,Борска област,2000,2523.02
RS222,Браничевска област,2000,2554.89
RS223,Зајечарска област,2000,2263.72
RS224,Јабланичка област,2000,1942.63
RS225,Нишавска област,2000,2687.01
RS226,Пиротска област,2000,2022.64
RS227,Подунавска област,2000,1758.68
RS228,Пчињска област,2000,2549.87
RS229,Топличка област,2000,1944.24
SI031,Pomurska,2000,10319.14
SI032,Podravska,2000,12072.92
SI033,Koroska,2000,12423.01
SI034,Savinjska,2000,13278.99
SI035,Zasavska,2000,10485.9
SI036,Posavska,2000,12452.91
SI037,Jugovzhodna Slovenija,2000,14468.78
SI038,Primorsko-notranjska,2000,11966.73
SI041,Osrednjeslovenska,2000,20393.32
SI042,Gorenjska,2000,12941.06
SI043,Goriska,2000,14236.82
SI044,Obalno-kraska,2000,15535.4
KSV,Kosovo,2000,2239.098046103992
BIH,Brčko,2000,3302.251762628287
BIH,Federacija Bosna i Hercegovina,2000,2873.9041565190287
BIH,Repuplika Srpska,2000,2616.3277077696166
HR021,Bjelovarsko-bilogorska županija,2001,6258.52
HR022,Virovitičko-podravska županija,2001,6290.74
HR023,Požeško-slavonska županija,2001,6089.44
HR024,Brodsko-posavska županija,2001,5439.16
HR025,Osječko-baranjska županija,2001,6543.85
HR026,Vukovarsko-srijemska županija,2001,5143.95
HR027,Karlovačka županija,2001,7251.97
HR028,Sisačko-moslavačka županija,2001,7067.54
HR031,Primorsko-goranska zupanija,2001,10545.08
HR032,Licko-senjska zupanija,2001,6595.46
HR033,Zadarska zupanija,2001,6922.61
HR034,Sibensko-kninska zupanija,2001,6017.14
HR035,Splitsko-dalmatinska zupanija,2001,7122.64
HR036,Istarska zupanija,2001,11923.23
HR037,Dubrovacko-neretvanska zupanija,2001,7900.34
HR050,Grad Zagreb,2001,14123.94
HR061,Međimurska županija,2001,6734.14
HR062,Varaždinska županija,2001,7543.43
HR063,Koprivničko-križevačka županija,2001,8552.58
HR064,Krapinsko-zagorska županija,2001,6423.94
HR065,Zagrebačka županija,2001,5851.5
ME000,Crna Gora,2001,4020.13
MK001,Vardarski,2001,2590.28
MK002,Istocen,2001,1975.3
MK003,Jugozapaden,2001,2286.25
MK004,Jugoistocen,2001,2457.55
MK005,Pelagoniski,2001,3509.3
MK006,Poloski,2001,1364.35
MK007,Severoistocen,2001,1709.51
MK008,Skopski,2001,4464.7
RS110,Београдска област,2001,4389.93
RS121,Западнобачка област,2001,2862.21
RS122,Јужнобанатска област,2001,3074.97
RS123,Јужнобачка област,2001,4657.23
RS124,Севернобанатска област,2001,2996.11
RS125,Севернобачка област,2001,3004.78
RS126,Средњобанатска област,2001,3425.66
RS127,Сремска област,2001,2796.7
RS211,Златиборска област,2001,2110.71
RS212,Колубарска област,2001,2212.26
RS213,Мачванска област,2001,2092.31
RS214,Моравичка област,2001,2864.59
RS215,Поморавска област,2001,2507.12
RS216,Расинска област,2001,2552.21
RS217,Рашка област,2001,1825.86
RS218,Шумадијска област,2001,2032.57
RS221,Борска област,2001,2454.08
RS222,Браничевска област,2001,2798.8
RS223,Зајечарска област,2001,2296.38
RS224,Јабланичка област,2001,1892.69
RS225,Нишавска област,2001,2888.97
RS226,Пиротска област,2001,2213.33
RS227,Подунавска област,2001,1661.7
RS228,Пчињска област,2001,2407.77
RS229,Топличка област,2001,1984.63
SI031,Pomurska,2001,10565.76
SI032,Podravska,2001,12445.53
SI033,Koroska,2001,12944.2
SI034,Savinjska,2001,13457.59
SI035,Zasavska,2001,10469.15
SI036,Posavska,2001,12745.59
SI037,Jugovzhodna Slovenija,2001,14710.14
SI038,Primorsko-notranjska,2001,11910.87
SI041,Osrednjeslovenska,2001,21224.83
SI042,Gorenjska,2001,13490.79
SI043,Goriska,2001,14681.42
SI044,Obalno-kraska,2001,15910.27
HR021,Bjelovarsko-bilogorska županija,2001,6258.52
HR022,Virovitičko-podravska županija,2001,6290.74
HR023,Požeško-slavonska županija,2001,6089.44
HR024,Brodsko-posavska županija,2001,5439.16
HR025,Osječko-baranjska županija,2001,6543.85
HR026,Vukovarsko-srijemska županija,2001,5143.95
HR027,Karlovačka županija,2001,7251.97
HR028,Sisačko-moslavačka županija,2001,7067.54
HR031,Primorsko-goranska zupanija,2001,10545.08
HR032,Licko-senjska zupanija,2001,6595.46
HR033,Zadarska zupanija,2001,6922.61
HR034,Sibensko-kninska zupanija,2001,6017.14
HR035,Splitsko-dalmatinska zupanija,2001,7122.64
HR036,Istarska zupanija,2001,11923.23
HR037,Dubrovacko-neretvanska zupanija,2001,7900.34
HR050,Grad Zagreb,2001,14123.94
HR061,Međimurska županija,2001,6734.14
HR062,Varaždinska županija,2001,7543.43
HR063,Koprivničko-križevačka županija,2001,8552.58
HR064,Krapinsko-zagorska županija,2001,6423.94
HR065,Zagrebačka županija,2001,5851.5
ME000,Crna Gora,2001,4020.13
MK001,Vardarski,2001,2590.28
MK002,Istocen,2001,1975.3
MK003,Jugozapaden,2001,2286.25
MK004,Jugoistocen,2001,2457.55
MK005,Pelagoniski,2001,3509.3
MK006,Poloski,2001,1364.35
MK007,Severoistocen,2001,1709.51
MK008,Skopski,2001,4464.7
RS110,Београдска област,2001,4389.93
RS121,Западнобачка област,2001,2862.21
RS122,Јужнобанатска област,2001,3074.97
RS123,Јужнобачка област,2001,4657.23
RS124,Севернобанатска област,2001,2996.11
RS125,Севернобачка област,2001,3004.78
RS126,Средњобанатска област,2001,3425.66
RS127,Сремска област,2001,2796.7
RS211,Златиборска област,2001,2110.71
RS212,Колубарска област,2001,2212.26
RS213,Мачванска област,2001,2092.31
RS214,Моравичка област,2001,2864.59
RS215,Поморавска област,2001,2507.12
RS216,Расинска област,2001,2552.21
RS217,Рашка област,2001,1825.86
RS218,Шумадијска област,2001,2032.57
RS221,Борска област,2001,2454.08
RS222,Браничевска област,2001,2798.8
RS223,Зајечарска област,2001,2296.38
RS224,Јабланичка област,2001,1892.69
RS225,Нишавска област,2001,2888.97
RS226,Пиротска област,2001,2213.33
RS227,Подунавска област,2001,1661.7
RS228,Пчињска област,2001,2407.77
RS229,Топличка област,2001,1984.63
SI031,Pomurska,2001,10565.76
SI032,Podravska,2001,12445.53
SI033,Koroska,2001,12944.2
SI034,Savinjska,2001,13457.59
SI035,Zasavska,2001,10469.15
SI036,Posavska,2001,12745.59
SI037,Jugovzhodna Slovenija,2001,14710.14
SI038,Primorsko-notranjska,2001,11910.87
SI041,Osrednjeslovenska,2001,21224.83
SI042,Gorenjska,2001,13490.79
SI043,Goriska,2001,14681.42
SI044,Obalno-kraska,2001,15910.27
